grupo_id,grupo,descripcion_grupo,actividad_nro,tipo,nombre_actividad
9,M.L. Ops,"If you are going to be deploying your machine learning models you need to know the command line, python package manager (PIP) and the cookie cutter boilerplate (at least). Today you will get the first Machine Learning Operations lesson.",3,Practice,Command Line Challenge
10,Intro to SQL,"SQL is the language for data, all the famous database engines use it to query or manipulate the data inside the database, lets get familiar with the most basic concepts, instructions and connect to our first real database.",1,Read,Mastering Databases: What is SQL Database
10,Intro to SQL,"SQL is the language for data, all the famous database engines use it to query or manipulate the data inside the database, lets get familiar with the most basic concepts, instructions and connect to our first real database.",2,Read,Everything you need to know about SQLAlchemy
10,Intro to SQL,"SQL is the language for data, all the famous database engines use it to query or manipulate the data inside the database, lets get familiar with the most basic concepts, instructions and connect to our first real database.",3,Read,Connecting to SQL Databases
10,Intro to SQL,"SQL is the language for data, all the famous database engines use it to query or manipulate the data inside the database, lets get familiar with the most basic concepts, instructions and connect to our first real database.",4,Practice,Practice SQL
11,Web Scraping,"Scraping is one of the most used sources of gathering data in the world of machine learning. This technology allows you to download almost anything publicly available on the internet, even without an API! Let's do our first scraping and learn the basics of it.",1,Read,What is HTTP?
11,Web Scraping,"Scraping is one of the most used sources of gathering data in the world of machine learning. This technology allows you to download almost anything publicly available on the internet, even without an API! Let's do our first scraping and learn the basics of it.",2,Read,Web Scraping With Beautiful Soup
11,Web Scraping,"Scraping is one of the most used sources of gathering data in the world of machine learning. This technology allows you to download almost anything publicly available on the internet, even without an API! Let's do our first scraping and learn the basics of it.",3,Read,Importing Static Files with Pandas
11,Web Scraping,"Scraping is one of the most used sources of gathering data in the world of machine learning. This technology allows you to download almost anything publicly available on the internet, even without an API! Let's do our first scraping and learn the basics of it.",4,Project,Web Scraping Tesla revenues with Python and Beautiful Soup
12,API Requests,"The last wait to fetch or retrieve data that we will be learning during the courses is API integrations, that are millions of public API's on the internet with very valuable information. As a Machine Learning Engineer sometimes you will need to use the python request package to connect to an API and get the extra data you need.",1,Read,Understanding Rest APIs
12,API Requests,"The last wait to fetch or retrieve data that we will be learning during the courses is API integrations, that are millions of public API's on the internet with very valuable information. As a Machine Learning Engineer sometimes you will need to use the python request package to connect to an API and get the extra data you need.",2,Practice,Learn how to build HTTP requests with Python
12,API Requests,"The last wait to fetch or retrieve data that we will be learning during the courses is API integrations, that are millions of public API's on the internet with very valuable information. As a Machine Learning Engineer sometimes you will need to use the python request package to connect to an API and get the extra data you need.",3,Project,Interacting with an API using Python
13,Exploratory Data Analysis,"Find patterns in your data in order to get insights and valuable information. Use that information to make decisions and generate better predictions. If your data is garbage, the output will be garbage: Clean your data to avoid poor quality outputs.",1,Read,Exploratory Data Analysis and Cleaning with Titanic
13,Exploratory Data Analysis,"Find patterns in your data in order to get insights and valuable information. Use that information to make decisions and generate better predictions. If your data is garbage, the output will be garbage: Clean your data to avoid poor quality outputs.",2,Read,How to take the Exploratory Data-analysis Module
13,Exploratory Data Analysis,"Find patterns in your data in order to get insights and valuable information. Use that information to make decisions and generate better predictions. If your data is garbage, the output will be garbage: Clean your data to avoid poor quality outputs.",3,Project,Data Preprocessing Project Tutorial
14,Your first ML Algorithm,"During this module you will learn the basics of machine learning, the evaluation metrics and how to optimize your ML algo. We will start our journey with logistic regressions.",1,Read,Machine Learning Basics
14,Your first ML Algorithm,"During this module you will learn the basics of machine learning, the evaluation metrics and how to optimize your ML algo. We will start our journey with logistic regressions.",2,Read,Model Evaluation
14,Your first ML Algorithm,"During this module you will learn the basics of machine learning, the evaluation metrics and how to optimize your ML algo. We will start our journey with logistic regressions.",3,Read,Logistic Regression
14,Your first ML Algorithm,"During this module you will learn the basics of machine learning, the evaluation metrics and how to optimize your ML algo. We will start our journey with logistic regressions.",4,Read,Model Hyperparameters Optimization
14,Your first ML Algorithm,"During this module you will learn the basics of machine learning, the evaluation metrics and how to optimize your ML algo. We will start our journey with logistic regressions.",5,Project,Logistic Regression Project Tutorial
15,Linear Regression,Read the linear regression theory and run the code in the exploring linear regression notebook to practice. Then go to your project and predict the cost of a medical insurance using Linear Regression,1,Read,What is a Linear Regression and how to use it in machine learning models
15,Linear Regression,Read the linear regression theory and run the code in the exploring linear regression notebook to practice. Then go to your project and predict the cost of a medical insurance using Linear Regression,2,Read,Exploring Linear Regression
15,Linear Regression,Read the linear regression theory and run the code in the exploring linear regression notebook to practice. Then go to your project and predict the cost of a medical insurance using Linear Regression,3,Project,Linear Regression Project Tutorial
16,Regularized Linear. Reg.,"It is very important to avoid overfitting, so in this lesson you will learn about regularized linear regression models, which are a common way to avoid it.",1,Read,Regularized Linear Models
16,Regularized Linear. Reg.,"It is very important to avoid overfitting, so in this lesson you will learn about regularized linear regression models, which are a common way to avoid it.",2,Project,Build a linear regression model using pandas and python
17,Decision Tree Algo.,"This is one of the most used algorithms in the industry. Decision Tree's are used for both classification and regression problems. This algorithm makes decisions by building trees with nodes, leaves and branches to make decisions.",1,Read,Decision Trees
17,Decision Tree Algo.,"This is one of the most used algorithms in the industry. Decision Tree's are used for both classification and regression problems. This algorithm makes decisions by building trees with nodes, leaves and branches to make decisions.",2,Read,Exploring Decision Trees
17,Decision Tree Algo.,"This is one of the most used algorithms in the industry. Decision Tree's are used for both classification and regression problems. This algorithm makes decisions by building trees with nodes, leaves and branches to make decisions.",3,Project,Decision Tree Project Tutorial
18,Random Forest Algo.,In this module we will add some randomness to our trees and build machine learning models using Random Forest.,1,Read,Random Forest
18,Random Forest Algo.,In this module we will add some randomness to our trees and build machine learning models using Random Forest.,2,Read,Exploring Random Forest
18,Random Forest Algo.,In this module we will add some randomness to our trees and build machine learning models using Random Forest.,3,Project,Random Forest Project Tutorial
19,Boosting Algorithms,"In this lesson, we will learn about boosting techniques, specifically about gradient descent algorithm and XGBoost (extreme gradient descent).",1,Read,Boosting Algorithms
19,Boosting Algorithms,"In this lesson, we will learn about boosting techniques, specifically about gradient descent algorithm and XGBoost (extreme gradient descent).",2,Read,Exploring Boosting Algorithm
19,Boosting Algorithms,"In this lesson, we will learn about boosting techniques, specifically about gradient descent algorithm and XGBoost (extreme gradient descent).",3,Project,Boosting Algorithms Project Tutorial
20,Naive Bayes Algorithm,"Were you wondering when are you going to apply Bayes Theorem? Now it's the time. The Naive Bayes algorithm is one of the fastest algorithm and its based in the bayes theorem. We will use it for classification and also as a brief and simple introduction to NLP, which we'll learn deeper in another module.",1,Read,Naive Bayes Algorithm
20,Naive Bayes Algorithm,"Were you wondering when are you going to apply Bayes Theorem? Now it's the time. The Naive Bayes algorithm is one of the fastest algorithm and its based in the bayes theorem. We will use it for classification and also as a brief and simple introduction to NLP, which we'll learn deeper in another module.",2,Read,Exploring Naive Bayes
20,Naive Bayes Algorithm,"Were you wondering when are you going to apply Bayes Theorem? Now it's the time. The Naive Bayes algorithm is one of the fastest algorithm and its based in the bayes theorem. We will use it for classification and also as a brief and simple introduction to NLP, which we'll learn deeper in another module.",3,Project,Naive Bayes Project Tutorial
21,K-nearest neighbors,In this module we will learn about the k-nearest neighbors algorithm and we will dive into a very simple recommender system built with k-nearest neighbors.,1,Read,K-nearest neighbors
21,K-nearest neighbors,In this module we will learn about the k-nearest neighbors algorithm and we will dive into a very simple recommender system built with k-nearest neighbors.,2,Read,Exploring K-Nearest Neighbors
21,K-nearest neighbors,In this module we will learn about the k-nearest neighbors algorithm and we will dive into a very simple recommender system built with k-nearest neighbors.,3,Read,Summary of Supervised Learning models
21,K-nearest neighbors,In this module we will learn about the k-nearest neighbors algorithm and we will dive into a very simple recommender system built with k-nearest neighbors.,4,Project,K-nearest neighbors Project Tutorial
22,Unsupervised learning,In this module we will learn about a couple of unsupervised algorithms but we will focus on k-means for clustering with a very simple project to help you understand how to group data in clusters.,1,Read,Unsupervised learning
22,Unsupervised learning,In this module we will learn about a couple of unsupervised algorithms but we will focus on k-means for clustering with a very simple project to help you understand how to group data in clusters.,2,Project,K-means Project Tutorial
23,Time Series forecasting,"In this lesson, we will learn how to recognize and deal with time series when they are present in our datasets. This lesson's project will be a real time competition so get all your skills ready!",1,Read,Time Series
23,Time Series forecasting,"In this lesson, we will learn how to recognize and deal with time series when they are present in our datasets. This lesson's project will be a real time competition so get all your skills ready!",2,Read,Exploring Time Series
23,Time Series forecasting,"In this lesson, we will learn how to recognize and deal with time series when they are present in our datasets. This lesson's project will be a real time competition so get all your skills ready!",3,Project,Alternative time series project
23,Time Series forecasting,"In this lesson, we will learn how to recognize and deal with time series when they are present in our datasets. This lesson's project will be a real time competition so get all your skills ready!",4,Project,Time Series Project Tutorial
25,Intro to Deep Learning,This is our last module on algorithms. We will close this part with a brief introduction to deep learning and neural networks so that we can learn a more complex but efficient model.,1,Read,Intro to deep learning
25,Intro to Deep Learning,This is our last module on algorithms. We will close this part with a brief introduction to deep learning and neural networks so that we can learn a more complex but efficient model.,2,Read,Exploring Neural Networks
26,Intro to NLP,"In this module we will learn the basics of a new algorithm: Support Vector machine and we will also have an intro to Natural Language Processing. We will combine both by practicing with an email spam classifier on the exploring NLP notebook, and then you will work on a URL spam classifier in your project.",1,Read,Natural Language Processing
26,Intro to NLP,"In this module we will learn the basics of a new algorithm: Support Vector machine and we will also have an intro to Natural Language Processing. We will combine both by practicing with an email spam classifier on the exploring NLP notebook, and then you will work on a URL spam classifier in your project.",2,Read,Exploring Natural Language Processing
26,Intro to NLP,"In this module we will learn the basics of a new algorithm: Support Vector machine and we will also have an intro to Natural Language Processing. We will combine both by practicing with an email spam classifier on the exploring NLP notebook, and then you will work on a URL spam classifier in your project.",3,Read,Support Vector Machine
27,ML web app using Flask,"In this lesson, we will learn how to build a machine learning web application using one of your best models and the Flask tool. Then we will deploy it to Heroku so that our model can be showed to the world.",1,Read,Deploy AI Models Using Flask and Render.com
27,ML web app using Flask,"In this lesson, we will learn how to build a machine learning web application using one of your best models and the Flask tool. Then we will deploy it to Heroku so that our model can be showed to the world.",2,Read,Deploy model using Flask and Heroku
28,ML webapp using Streamlit,"In this lesson, we will learn how to build a machine learning web application using one of your best models and the Streamlit tool. Then we will deploy it to Heroku so that our model can be showed to the world.",1,Read,Deploy model using Streamlit and Heroku
28,ML webapp using Streamlit,"In this lesson, we will learn how to build a machine learning web application using one of your best models and the Streamlit tool. Then we will deploy it to Heroku so that our model can be showed to the world.",2,Read,Deploy Models using Streamlit and Render.com
29,Cloud Computing for ML,"This is our last lesson, a brief introduction to cloud computing resources for machine learning. When using large datasets, it is important to know what resources are available for us in the cloud. They can help us reducing training times. Read this lesson at home and discuss it in class. Feel free to dive deeper into your preferred platform with the learning links mentioned in the lesson.",1,Read,Intro to AWS SageMaker
29,Cloud Computing for ML,"This is our last lesson, a brief introduction to cloud computing resources for machine learning. When using large datasets, it is important to know what resources are available for us in the cloud. They can help us reducing training times. Read this lesson at home and discuss it in class. Feel free to dive deeper into your preferred platform with the learning links mentioned in the lesson.",2,Read,Cloud Computing
